Comment,Designator,Footprint,LCSC
22uF,"C301,C302",C_1206_3216Metric,C12891
10n,C204,C_0402_1005Metric,C15195
0.1u,"C206,C207,C208,C209,C210,C211",C_0402_1005Metric,C1525
12p,"C212,C213",C_0402_1005Metric,C1547
10u,C205,C_0402_1005Metric,C15525
3p3,"C201,C202",C_0402_1005Metric,C1565
USB_C_Plug_USB2.0,P301,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
22R,R207,R_0402_1005Metric,C25092
470R,R201,R_0402_1005Metric,C25117
Crystal_GND24,Y201,Crystal_SMD_2016-4Pin_2.0x1.6mm,C255898
5k1,"R202,R203,R204,R205,R206,R301,R302,R303,R304",R_0402_1005Metric,C25905
2n2,"L201,L202",L_0603_1608Metric,C29682
LDL111733R,U301,SOT-223-3_TabPin2,C435835
SW_Push,"SW201,SW202",SW_SPST_PTS810,C470426
ESP32-C3FN4,U201,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C5143572
1u,C203,C_0402_1005Metric,C52923
USBLC6-2SC6,U302,SOT-23-6,C7519
Conn_01x03_Pin,"J101,J102",PinHeader_1x03_P2.54mm_Horizontal,C92159
50k,R101,PinHeader_1x02_P2.54mm_Vertical,
2.4GHz aerial,AE201,Texas_SWRU120D_InvF_2.4GHz_Right,
Conn_01x04_Socket,J104,PinSocket_1x04_P2.00mm_Vertical,
Conn_01x03_Socket,J105,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x02_Socket,J103,PinHeader_1x02_P2.54mm_Vertical,
