Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,3p3,C_0402_1005Metric,118.37,-69.89,0.0,top
C202,3p3,C_0402_1005Metric,118.34,-73.86,0.0,top
C203,1u,C_0402_1005Metric,120.56,-75.0225,0.0,top
C204,10n,C_0402_1005Metric,120.56,-75.9925,0.0,top
C205,10u,C_0402_1005Metric,113.34,-71.579999,90.0,top
C206,0.1u,C_0402_1005Metric,114.36,-71.58,90.0,top
C207,0.1u,C_0402_1005Metric,116.3475,-73.1125,90.0,top
C208,100n,C_0402_1005Metric,111.18,-74.88,180.0,top
C209,0.1u,C_0402_1005Metric,114.36,-81.7925,-90.0,top
C210,0.1u,C_0402_1005Metric,111.18,-76.8925,180.0,top
C211,100n,C_0402_1005Metric,111.18,-79.95,180.0,top
C212,12p,C_0402_1005Metric,126.16,-79.87,-90.0,top
C213,12p,C_0402_1005Metric,122.14,-79.89,90.0,top
C301,22uF,C_1206_3216Metric,126.66,-76.27,180.0,top
C302,22uF,C_1206_3216Metric,126.67,-65.06,180.0,top
J101,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Horizontal,105.615,-91.285,180.0,top
J102,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Horizontal,130.77,-91.2,0.0,top
L201,2n2,L_0603_1608Metric,117.89,-71.8825,-90.0,top
L202,2n2,L_0603_1608Metric,114.36,-73.2925,0.0,top
P301,USB_C_Plug_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,118.22,-94.02,0.0,top
R201,470R,R_0402_1005Metric,121.89,-81.99,0.0,top
R202,5k1,R_0402_1005Metric,111.16,-75.88,0.0,top
R203,5k1,R_0402_1005Metric,130.42,-69.93,-90.0,top
R204,5k1,R_0402_1005Metric,112.26,-73.08,90.0,top
R205,5k1,R_0402_1005Metric,111.16,-77.98,180.0,top
R206,5k1,R_0402_1005Metric,111.16,-78.98,0.0,top
R207,22R,R_0402_1005Metric,122.93,-77.19,0.0,top
R301,5k1,R_0402_1005Metric,132.4,-69.93,-90.0,top
R302,5k1,R_0402_1005Metric,131.41,-69.93,90.0,top
R303,5k1,R_0402_1005Metric,124.06,-89.68,90.0,top
R304,5k1,R_0402_1005Metric,112.38,-89.68,90.0,top
SW201,SW_Push,SW_SPST_PTS810,106.445,-84.905,0.0,top
SW202,SW_Push,SW_SPST_PTS810,112.73,-84.905,0.0,top
U201,ESP32-C3FN4,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,116.11,-77.63,-90.0,top
U301,LDL111733R,SOT-223-3_TabPin2,125.37,-70.66,90.0,top
U302,USBLC6-2SC6,SOT-23-6,118.16,-84.8075,-90.0,top
Y201,Crystal_GND24,Crystal_SMD_2016-4Pin_2.0x1.6mm,124.16,-79.5,180.0,top
